a’a	A’a	A’A
kaffklatsch	Kaffklatsch	KAFFKLATSCH
kämmekkä	Kämmekkä	KÄMMEKKÄ
kamuflaža	Kamuflaža	KAMUFLAŽA
karikatura	Karikatura	KARIKATURA
karramarro	Karramarro	KARRAMARRO
kendő	Kendő	KENDŐ
kereng’ende	Kereng’ende	KERENG’ENDE
keyword	Keyword	KEYWORD
kézzel	Kézzel	KÉZZEL
kifafa	Kifafa	KIFAFA
kijiji	Kijiji	KIJIJI
kjaftstopp	Kjaftstopp	KJAFTSTOPP
kjarnyrtur	Kjarnyrtur	KJARNYRTUR
klapppult	Klapppult	KLAPPPULT
kohlenstofffaser	Kohlenstofffaser	KOHLENSTOFFFASER
kokoelma	Kokoelma	KOKOELMA
kötőtű	Kötőtű	KÖTŐTŰ
kraguljček	Kraguljček	KRAGULJČEK
kreplach	Kreplach	KREPLACH
krvav	Krvav	KRVAV
kussszene	Kussszene	KUSSSZENE
kyrrð	Kyrrð	KYRRÐ
kyvykkyys	Kyvykkyys	KYVYKKYYS
łasuch	Łasuch	ŁASUCH
lava	Lava	LAVA
lekkoatletka	Lekkoatletka	LEKKOATLETKA
lepotilo	Lepotilo	LEPOTILO
liiert	Liiert	LIIERT
łój	Łój	ŁÓJ
look	Look	LOOK
loppu	Loppu	LOPPU
łubudu	Łubudu	ŁUBUDU
lunedì	Lunedì	LUNEDÌ
łupież	Łupież	ŁUPIEŻŽ
łyko	Łyko	ŁYKO
lyxvillor	Lyxvillor	LYXVILLOR
määräilijä	Määräilijä	MÄÄRÄILIJÄ
mågehøg	Mågehøg	MÅGEHØG
magog	Magog	MAGOG
mämmi	Mämmi	MÄMMI
mammologia	Mammologia	MAMMOLOGIA
mánuðum	Mánuðum	MÁNUÐUM
marmalade	Marmalade	MARMALADE
masques	Masques	MASQUES
matatu	Matatu	MATATU
mchanga	Mchanga	MCHANGA
megég	Megég	MEGÉG
metrópoli	Metrópoli	METRÓPOLI
mgonjwa	Mgonjwa	MGONJWA
mhudumiaji	Mhudumiaji	MHUDUMIAJI
milli vanilli	Milli Vanilli	MILLI VANILLI
minimum	Minimum	MINIMUM
mississippi	Mississippi	MISSISSIPPI
mjini	Mjini	MJINI
mladenič	Mladenič	MLADENIČ
modern	Modern	MODERN
monções	Monções	MONÇÕES
morgengrøde	Morgengrøde	MORGENGRØDE
mørkegrå	Mørkegrå	MØRKEGRÅ
mułła	Mułła	MUŁŁA
mung’unye	Mung’unyem	MUNG’UNYEM
mydło	Mydło	MYDŁO
ñandú	Ñandú	ÑANDÚ
narcissistic	Narcissistic	NARCISSISTIC
nedløbsrør	Nedløbsrør	NEDLØBSRØR
neenoten	Neenoten	NEENOTEN
ng’arange	Ng’arange	NG’ARANGE
ngjyrës	Ngjyrës	NGJYRËS
ngoja	Ngoja	NGOJA
niedźwiedź	Niedźwiedź	NIEDŹWIEDŹ
nietzschean	Nietzschean	NIETZSCHEAN
nieuwbouwwijk	Nieuwbouwwijk	NIEUWBOUWWIJK
nihil	Nihil	NIHIL
niilista	Niilista	NIILISTA
ñimiño	Ñimiño	ÑIMIÑO
nojja	nojja
oddfellow	Oddfellow	ODDFELLOW
oddłużenie	Oddłużenie	ODDŁUŻENIE
odpływ	Odpływ	ODPŁYW
ødselhed	Ødselhed	ØDSELHED
ofbeldi	Ofbeldi	OFBELDI
ohio	Ohio	OHIO
oiseau	Oiseau	OISEAU
okólnik	Okólnik	OKÓLNIK
onomatopoeia	Onomatopoeia	ONOMATOPOEIA
oology	Oology	OOLOGY
Ööröm	Öröm	ÖRÖM
opo	Opo	OPO
orðatiltækið	Orðatiltækið	ORÐATILTÆKIÐ
őröl	Őröl	ŐRÖL
orquídea	orquídea	ORQUÍDEA
oshkosh	Oshkosh	OSHKOSH
óskhyggja	Óskhyggja	ÓSKHYGGJA
övé	Övé	ÖVÉ
paragüeño	Paragüeño	PARAGÜEÑO
passstraße	Passstrasse	PASSSTRASSE
påvist	Påvist	PÅVIST
pępek	Pępek	PĘPEK
perfidy	Perfidy	PERFIDY
pięćsettysięcznik	Pięćsettysięcznik	PIĘĆSETTYSIĘCZNIK
pijjekker	Pijjekker	PIJJEKKER
pług	Pług	PŁUG
polič	Polič	POLIČ
polyvinvyl	Polyvinvyl	POLYVINVYL
poolopaita	Poolopaita	POOLOPAITA
portaaviones	Portaaviones	PORTAAVIONES
prakkari	Prakkari	PRAKKARI
priimek	Priimek	PRIIMEK
pygmy	Pygmy	PYGMY
qabalah	Qabalah	QABALAH
qatartar	Qatartar	QATARTAR
rååål	Rååål	RÅÅÅL
rädda	Rädda	RÄDDA
räffla	Räffla	RÄFFLA
rafiki	Rafiki	RAFIKI
rákos	Rákos	RÁKOS
rammelen	Rammelen	RAMMELEN
revolution	Revolution	REVOLUTION
revving	Revving	REVVING
rhythm	Rhythm	RHYTHM
ríkisstjórn	Ríkisstjórn	RÍKISSTJÓRN
robusto	Robusto	ROBUSTO
room	Room	ROOM
røver	Røver	RØVER
różany	Różany	RÓŻANY
rozzłoszczenie	Rozzłoszczenie	ROZZŁOSZCZENIE
rygga	Rygga	RYGGA
sáttatillaga	Sáttatillaga	SÁTTATILLAGA
sauerstoffflasche	Sauerstoffflasche	SAUERSTOFFFLASCHE
savvy	Savvy	SAVVY
schifffahrt	Schifffahrt	SCHIFFFAHRT
schneeeule	Schneeeule	SCHNEEEULE
schritttempo	Schritttempo	SCHRITTTEMPO
ščinkavec	Ščinkavec	ŠČINKAVEC
šebesa	Šebesa	ŠEBESA
sękacz	Sękacz	SĘKACZ
singhiozzi	Singhiozzi	SINGHIOZZI
sjáaldur	Sjáaldur	SJÁALDUR
skeende	Skeende	SKEENDE
skilji	Skilji	SKILJI
skósóli	Skósóli	SKÓSÓLI
słup	Słup	SŁUP
sopravvivere	Sopravvivere	SOPRAVVIVERE
souffrant	Souffrant	SOUFFRANT
srečnež	Srečnež	SREČNEŽ
stoffblume	Stoffblume	STOFFBLUME
suss	Suss	SUSS
süsüütés	Süsüütés	SÜSÜÜTÉS
swimming	Swimming	SWIMMING
syzygy	Syzygy	SYZYGY
szczenię	Szczenię	SZCZENIĘ
szemérem	Szemérem	SZEMÉREM
sztüx	Sztüx	SZTÜX
tagetage	Tagetage	TAGETAGE
teeei	Teeei	TEEEI
teepee	Teepee	TEEPEE
tennessee	Tennessee	TENNESSEE
tetűűzés	Tetűűzés	TETŰŰZÉS
titular	Titular	TITULAR
töllöttää	Töllöttää	TÖLLÖTTÄÄ
tölvuþrjótur	Tölvuþrjótur	TÖLVUÞRJÓTUR
töölö	Töölö	TÖÖLÖ
töööö	Töööö	TÖÖÖÖ
trawl	Trawl	TRAWL
trekking	Trekking	TREKKING
trittbrett	Trittbrett	TRITTBRETT
trójjęzyczność	Trójjęzyczność	TRÓJJĘZYCZNOŚĆ
tryggja	Tryggja	TRYGGJA
tyylilyyli	Tyylilyyli	TYYLILYYLI
tyynynpäällinen	Tyynynpäällinen	TYYNYNPÄÄLLINEN
učenje	Učenje	UČENJE
ujjak	Ujjak	UJJAK
ummetus	Ummetus	UMMETUS
unnecessary	Unnecessary	UNNECESSARY
upplýsingatækni	Upplýsingatækni	UPPLÝSINGATÆKNI
urżnąć	Urżnąć	URŻNĄĆ
útivistarfólk	Útivistarfólk	ÚTIVISTARFÓLK
útlönd	Útlönd	ÚTLÖND
útsæ	Útsæ	ÚTSÆ
uutuus	Uutuus	UUTUUS
vähälaktoosisia	Vähälaktoosisia	VÄHÄLAKTOOSISIA
vámszedőőr	Vámszedőőr	VÁMSZEDŐŐR
verjüngung	Verjüngung	VERJÜNGUNG
víðsjá	Víðsjá	VÍÐSJÁ
vollblut	Vollblut	VOLLBLUT
voorraad	Voorraad	VOORRAAD
waffle	Waffle	WAFFLE
wavy	Wavy	WAVY
wchrzanią	Wchrzanią	WCHRZANIĄ
weöres	Weöres	WEÖRESXx:
wiąz	Wiąz	WIĄZ
wienerbrød	Wienerbrød	WIENERBRØD
wyvern	Wyvern	WYVERN
ýmislegt	Ýmislegt	ÝMISLEGT
yndisfríð	Yndisfríð	YNDISFRÍÐ
yngismey	Yngismey	YNGISMEY
yngre	Yngre	YNGRE
yog-sothoth	Yog-Sothoth	YOG-SOTHOTH
yötyö	Yötyö	YÖTYÖ
yvette	Yvette	YVETTE
zaangażować	Zaangażować	ZAANGAŻOWAĆ
żałość	Żałość	ŻAŁOŚĆ
źdźbło	Źdźbło	ŹDŹBŁO
żółć	Żółć	ŻÓŁĆ
zoophobie	Zoophobie	ZOOPHOBIE
zozoa	Zozoa	ZOZOA
zylinder	Zylinder	ZYLINDER
þangað	Þangað	ÞANGAÐ
þvag	Þvag	ÞVAG
